state,date,year,income_median,income_mean,cpi_index_annual,inflation_yoy_pct,income_median_real,income_mean_real,median_real_yoy_pct,mean_median_gap_pct,income_median_indexed,income_mean_indexed,income_median_real_indexed,income_mean_real_indexed,cpi_index_annual_indexed,rank_median_nominal,rank_median_real
Johor,2012-01-01,2012,3650.0,4658,105.175,,3470.406465414785,4428.809127644402,,27.616438356164387,100.0,100.0,100.0,100.0,100.0,7.0,7.0
Johor,2012-01-01,2012,3650.0,4658,105.175,,3470.406465414785,4428.809127644402,,27.616438356164387,100.0,100.0,100.0,100.0,100.0,5.0,5.0
Johor,2012-01-01,2012,3650.0,4658,105.175,,3470.406465414785,4428.809127644402,,27.616438356164387,100.0,100.0,100.0,100.0,100.0,5.0,6.0
Johor,2012-01-01,2012,3650.0,4658,105.175,,3470.406465414785,4428.809127644402,,27.616438356164387,100.0,100.0,100.0,100.0,100.0,5.0,5.0
Johor,2012-01-01,2012,3650.0,4658,105.175,,3470.406465414785,4428.809127644402,,27.616438356164387,100.0,100.0,100.0,100.0,100.0,5.0,5.0
Johor,2012-01-01,2012,3650.0,4658,105.175,,3470.406465414785,4428.809127644402,,27.616438356164387,100.0,100.0,100.0,100.0,100.0,5.0,5.0
Johor,2014-01-01,2014,5197.0,6207,111.64166666666667,6.148482687584189,4655.072031051728,5559.752183324626,34.136219415305604,19.43428901289206,142.3835616438356,133.2546157148991,134.1362194153056,125.53605321622317,106.14848268758419,7.0,7.0
Johor,2014-01-01,2014,5197.0,6207,111.64166666666667,6.148482687584189,4655.072031051728,5559.752183324626,34.136219415305604,19.43428901289206,142.3835616438356,133.2546157148991,134.1362194153056,125.53605321622317,106.14848268758419,5.0,5.0
Johor,2014-01-01,2014,5197.0,6207,111.64166666666667,6.148482687584189,4655.072031051728,5559.752183324626,34.136219415305604,19.43428901289206,142.3835616438356,133.2546157148991,134.1362194153056,125.53605321622317,106.14848268758419,5.0,6.0
Johor,2014-01-01,2014,5197.0,6207,111.64166666666667,6.148482687584189,4655.072031051728,5559.752183324626,34.136219415305604,19.43428901289206,142.3835616438356,133.2546157148991,134.1362194153056,125.53605321622317,106.14848268758419,5.0,5.0
Johor,2014-01-01,2014,5197.0,6207,111.64166666666667,6.148482687584189,4655.072031051728,5559.752183324626,34.136219415305604,19.43428901289206,142.3835616438356,133.2546157148991,134.1362194153056,125.53605321622317,106.14848268758419,5.0,5.0
Johor,2014-01-01,2014,5197.0,6207,111.64166666666667,6.148482687584189,4655.072031051728,5559.752183324626,34.136219415305604,19.43428901289206,142.3835616438356,133.2546157148991,134.1362194153056,125.53605321622317,106.14848268758419,5.0,5.0
Johor,2016-01-01,2016,5652.0,6928,117.99166666666667,5.687840561319701,4790.168797231443,5871.601101772724,2.9021412618011055,22.576079263977356,154.84931506849315,148.73336195792186,138.02904198597724,132.5774250491512,112.18603914111402,7.0,7.0
Johor,2016-01-01,2016,5652.0,6928,117.99166666666667,5.687840561319701,4790.168797231443,5871.601101772724,2.9021412618011055,22.576079263977356,154.84931506849315,148.73336195792186,138.02904198597724,132.5774250491512,112.18603914111402,5.0,5.0
Johor,2016-01-01,2016,5652.0,6928,117.99166666666667,5.687840561319701,4790.168797231443,5871.601101772724,2.9021412618011055,22.576079263977356,154.84931506849315,148.73336195792186,138.02904198597724,132.5774250491512,112.18603914111402,5.0,6.0
Johor,2016-01-01,2016,5652.0,6928,117.99166666666667,5.687840561319701,4790.168797231443,5871.601101772724,2.9021412618011055,22.576079263977356,154.84931506849315,148.73336195792186,138.02904198597724,132.5774250491512,112.18603914111402,5.0,5.0
Johor,2016-01-01,2016,5652.0,6928,117.99166666666667,5.687840561319701,4790.168797231443,5871.601101772724,2.9021412618011055,22.576079263977356,154.84931506849315,148.73336195792186,138.02904198597724,132.5774250491512,112.18603914111402,5.0,5.0
Johor,2016-01-01,2016,5652.0,6928,117.99166666666667,5.687840561319701,4790.168797231443,5871.601101772724,2.9021412618011055,22.576079263977356,154.84931506849315,148.73336195792186,138.02904198597724,132.5774250491512,112.18603914111402,5.0,5.0
Johor,2019-01-01,2019,6427.0,8013,125.08333333333333,6.010311462673901,5138.1745502998,6406.129247168555,7.26499979018469,24.67714330169597,176.08219178082192,172.02662086732502,148.05685159665245,144.6467676193544,118.92876951113224,7.0,7.0
Johor,2019-01-01,2019,6427.0,8013,125.08333333333333,6.010311462673901,5138.1745502998,6406.129247168555,7.26499979018469,24.67714330169597,176.08219178082192,172.02662086732502,148.05685159665245,144.6467676193544,118.92876951113224,5.0,5.0
Johor,2019-01-01,2019,6427.0,8013,125.08333333333333,6.010311462673901,5138.1745502998,6406.129247168555,7.26499979018469,24.67714330169597,176.08219178082192,172.02662086732502,148.05685159665245,144.6467676193544,118.92876951113224,5.0,6.0
Johor,2019-01-01,2019,6427.0,8013,125.08333333333333,6.010311462673901,5138.1745502998,6406.129247168555,7.26499979018469,24.67714330169597,176.08219178082192,172.02662086732502,148.05685159665245,144.6467676193544,118.92876951113224,5.0,5.0
Johor,2019-01-01,2019,6427.0,8013,125.08333333333333,6.010311462673901,5138.1745502998,6406.129247168555,7.26499979018469,24.67714330169597,176.08219178082192,172.02662086732502,148.05685159665245,144.6467676193544,118.92876951113224,5.0,5.0
Johor,2019-01-01,2019,6427.0,8013,125.08333333333333,6.010311462673901,5138.1745502998,6406.129247168555,7.26499979018469,24.67714330169597,176.08219178082192,172.02662086732502,148.05685159665245,144.6467676193544,118.92876951113224,5.0,5.0
